http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
http://statistics.data.gov.uk/id/local-authority-district/37UE,Gedling,,,,,240,240,300,450,200,270,340
http://statistics.data.gov.uk/id/local-authority-district/23UE,Gloucester,,,,,560,790,960,1050,620,650,590
http://statistics.data.gov.uk/id/local-authority-district/24UF,Gosport,,,,,430,500,690,280,200,20,40
http://statistics.data.gov.uk/id/local-authority-district/29UG,Gravesham,,,,,460,270,310,240,440,190,190
http://statistics.data.gov.uk/id/local-authority-district/33UD,Great Yarmouth,,,,,360,340,340,350,330,380,260
http://statistics.data.gov.uk/id/local-authority-district/00AL,Greenwich,,,,,2080,1840,1200,780,760,550,990
http://statistics.data.gov.uk/id/local-authority-district/43UD,Guildford,,,,,340,500,340,640,150,220,180
http://statistics.data.gov.uk/id/local-authority-district/00AM,Hackney,,,,,810,860,1110,1570,2050,1630,
http://statistics.data.gov.uk/id/local-authority-district/00ET,Halton,,,,,410,740,420,310,390,110,170
http://statistics.data.gov.uk/id/local-authority-district/36UC,Hambleton,,,,,190,330,300,330,210,150,160
http://statistics.data.gov.uk/id/local-authority-district/00AN,Hammersmith and Fulham,,,,,440,620,620,510,450,880,460
http://statistics.data.gov.uk/id/local-authority-district/31UD,Harborough,,,,,230,280,450,590,260,,
http://statistics.data.gov.uk/id/local-authority-district/00AP,Haringey,,,,,860,580,890,540,740,540,
http://statistics.data.gov.uk/id/local-authority-district/22UJ,Harlow,,,,,100,360,160,150,260,110,110
http://statistics.data.gov.uk/id/local-authority-district/36UD,Harrogate,,,,,370,340,330,360,270,360,170
http://statistics.data.gov.uk/id/local-authority-district/00AQ,Harrow,,,,,560,570,620,370,770,510,440
http://statistics.data.gov.uk/id/local-authority-district/24UG,Hart,,,,,640,530,400,230,50,-20,70
http://statistics.data.gov.uk/id/local-authority-district/00EB,Hartlepool,,,,,200,220,220,-170,470,300,310
http://statistics.data.gov.uk/id/local-authority-district/21UD,Hastings,,,,,210,340,200,280,240,160,80
http://statistics.data.gov.uk/id/local-authority-district/24UH,Havant,,,,,210,280,240,390,250,150,230
http://statistics.data.gov.uk/id/local-authority-district/00AR,Havering,,,,,460,380,850,330,650,430,
http://statistics.data.gov.uk/id/local-authority-district/00GA,Herefordshire,,,,,580,770,820,770,610,,
http://statistics.data.gov.uk/id/local-authority-district/26UE,Hertsmere,,,,,190,320,270,360,230,280,160
http://statistics.data.gov.uk/id/local-authority-district/17UH,High Peak,,,,,370,470,600,350,170,120,160
http://statistics.data.gov.uk/id/local-authority-district/00AS,Hillingdon,,,,,240,500,190,400,790,510,300
http://statistics.data.gov.uk/id/local-authority-district/31UE,Hinckley and Bosworth,,,,,580,450,440,400,470,350,230
http://statistics.data.gov.uk/id/local-authority-district/45UF,Horsham,,,,,330,650,390,220,310,230,160
http://statistics.data.gov.uk/id/local-authority-district/00AT,Hounslow,,,,,570,530,1410,1660,540,590,670
http://statistics.data.gov.uk/id/local-authority-district/12UE,Huntingdonshire,,,,,700,740,650,730,820,810,800
http://statistics.data.gov.uk/id/local-authority-district/30UG,Hyndburn,,,,,200,140,60,100,120,,
http://statistics.data.gov.uk/id/local-authority-district/42UD,Ipswich,,,,,720,780,990,1410,940,390,490
http://statistics.data.gov.uk/id/local-authority-district/00MW,Isle of Wight,,,,,310,770,1620,580,610,390,400
http://statistics.data.gov.uk/id/local-authority-district/00HF,Isles of Scilly,,,,,20,10,,20,,,
http://statistics.data.gov.uk/id/local-authority-district/00AU,Islington,,,,,620,820,1770,1670,2270,1530,510
http://statistics.data.gov.uk/id/local-authority-district/46UB,Kennet,,,,,330,290,330,600,,,
http://statistics.data.gov.uk/id/local-authority-district/00AW,Kensington and Chelsea,,,,,280,200,160,70,100,330,170
http://statistics.data.gov.uk/id/local-authority-district/15UD,Kerrier,,,,,270,250,370,460,510,,
http://statistics.data.gov.uk/id/local-authority-district/34UE,Kettering,,,,,460,640,740,690,420,400,
